Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
190645:2486,116,685952.145148,[10-110],550794.994845
190704:2491,9,405069.810095,[1-3],28862.1130977
190705:2491,441,17596904.4297,"[1-5], [7-76], [78-336], [338-350], [353-384]",14887896.9388
190738:2493,384,13266414.5534,"[1-130], [133-226], [229-355]",12836336.4526
191043:2508,79,3984943.96384,[45-47],60746.257913
191046:2508,258,16370892.8968,"[1-21], [24-82], [84-88], [92-116], [119-180], [183-183], [185-239]",13600769.0631
191056:2508,34,1992422.20486,"[1-1], [4-9], [16-17], [19-19]",259754.936938
191057:2508,76,4344928.8607,"[1-1], [4-65]",3468045.94109
191062:2508,557,26817962.7655,"[1-1], [3-3], [5-214], [216-549]",26256600.0212
191090:2509,339,5477351.63653,[1-55],1813998.68824
191201:2511,89,5798566.35311,"[38-49], [52-79]",3344924.28559
191202:2511,149,9292293.24921,"[1-64], [66-68], [87-105], [108-118]",7079171.45715
191226:2513,1705,97049812.5399,"[77-78], [81-831], [833-1454], [1456-1466], [1469-1507], [1510-1686]",93554926.8757
191247:2514,1238,73854154.8422,"[1-153], [156-280], [283-606], [608-620], [622-818], [821-834], [837-1031], [1034-1046], [1049-1140], [1143-1187], [1190-1214], [1217-1224]",70327352.9923
191248:2514,186,4829611.08919,[1-103],4404333.34924
191264:2515,197,12581956.1193,"[59-79], [82-152], [155-189]",11257993.9591
191271:2516,365,27792909.85,[56-158],9517541.72138
191276:2516,33,2539679.0716,[1-16],937589.682829
191277:2516,918,55598306.5652,"[1-28], [30-164], [167-253], [255-457], [460-535], [537-576], [579-775], [778-811], [813-849]",53291961.3552
191367:2520,289,136681.983861,[1-2],984.226868615
191411:2523,46,2428.52362297,[1-23],1194.67410818
191695:2533,50,5246606.20702,[1-1],13044.3134251
191718:2534,226,21190745.4494,"[43-95], [98-207]",16665194.0518
191720:2534,197,15127398.3674,"[1-1], [3-15], [17-181]",12534550.06
191721:2534,204,11665411.1767,"[1-1], [3-34], [36-183], [186-189]",10466536.5314
191726:2534,37,1017334.97923,[1-13],512427.623706
191810:2535,126,14116772.2778,"[15-15], [22-49], [52-92]",7697619.99411
191830:2536,400,40592883.9861,"[54-301], [304-393]",37752110.9225
191833:2536,114,11050221.5046,"[1-1], [3-103]",9525938.99652
191834:2536,375,32543042.409,"[1-30], [33-74], [77-299], [302-352]",29529105.4568
191837:2536,77,6016063.4511,"[1-44], [47-53], [56-65]",4432401.18881
191856:2536,144,9768991.12745,[1-133],8629509.00675
191859:2536,136,8192271.94966,"[1-28], [31-126]",7373484.72309
193093:2576,53,110752.372874,[1-33],73800.0000407
193123:2580,37,762106.43965,[1-27],543374.650388
193124:2580,91,1189410.22642,[1-52],1040286.28877
193207:2584,188,7551490.11774,[54-182],6767906.44141
193334:2587,188,10348963.6264,[29-172],8914971.60101
193336:2587,963,43866014.8925,"[1-264], [267-492], [495-684], [687-729], [732-951]",43131067.2209
193541:2590,638,28203022.7719,"[77-101], [103-413], [416-575], [578-619]",26571250.6811
193556:2591,155,9027290.42109,[41-83],3217824.71965
193557:2591,114,5643658.03399,[1-84],5580534.87847
